league	apm	hotkeys	minimap	supply	mannered	unique	ami	avi	aum	auv	sq	workers
d	c	low medium high	c	c	c	c	c	c	c	c	c	c
class
6	120.538461538	medium	120	10.3626943005	0	8	1167.00636943	291.464968153	415.286624204	338.808917197	78.0405330919	3.69170984456
6	155.769230769	medium	77	1.29533678756	0	10	1488.20512821	495.897435897	2319.07051282	750.16025641	54.1163393591	3.80829015544
6	191.970588235	medium	141	5.4347826087	0	12	1342.30392157	512.156862745	1376.96078431	517.450980392	64.7881666855	3.55731225296
3	56.0	medium	9	8.15660685155	0	5	546.290322581	74.3225806452	167.983870968	121.532258065	71.3710033992	3.03425774878
6	184.827586207	medium	52	2.95508274232	0	10	1407.82352941	542.682352941	1043.55294118	487.352941176	76.8502348887	4.0780141844
6	183.407407407	medium	44	5.56930693069	0	10	1465.33742331	543.411042945	1385.53374233	505.257668712	72.2532124827	4.0099009901
6	211.592592593	medium	21	9.28217821782	0	6	1255.91463415	344.780487805	204.695121951	1075.00609756	66.3499643382	2.82178217822
6	188.826086957	medium	19	5.1432770022	0	8	1386.64233577	408.175182482	735.328467153	248.058394161	84.8764091953	4.93754592212
5	104.461538462	medium	33	8.23580407456	1	9	992.489270386	304.755364807	1104.82832618	1285.55364807	29.9305843669	4.4733420026
5	88.5454545455	low	14	9.34579439252	0	4	440.151515152	99.1515151515	180.378787879	178.151515152	59.9891188718	3.64485981308
5	136.090909091	medium	48	9.34579439252	0	7	608.461538462	159.753846154	135.384615385	287.353846154	65.1995484167	2.99065420561
5	117.814814815	low	32	9.31098696462	0	6	1002.20858896	298.208588957	424.754601227	570.018404908	60.7669935002	3.79888268156
5	135.111111111	medium	271	13.0353817505	0	5	1271.04938272	291.654320988	347.617283951	248.845679012	91.2460423769	3.27746741155
6	167.782608696	low	44	4.49775112444	0	6	1408.81481481	508.8	526.207407407	309.881481481	96.4439076855	4.7676161919
5	100.866666667	low	12	18.244013683	0	6	757.222222222	180.266666667	232.377777778	282.055555556	66.4452832289	3.83124287343
5	106.625	medium	91	7.67085076709	1	9	798.275862069	262.289655172	281.137931034	228.420689655	72.6800450037	1.96652719665
5	131.285714286	low	32	15.625	0	5	813.139534884	174.139534884	353.546511628	251.651162791	63.1456015219	3.96634615385
4	76.2857142857	low	41	4.80769230769	0	6	883.176470588	186.541176471	302.705882353	115.917647059	79.9989405392	3.67788461538
6	91.6451612903	low	48	5.36193029491	0	12	1327.24867725	399.915343915	1045.87301587	773.80952381	60.0929080509	2.28418230563
3	29.375	low	14	9.47368421053	0	7	742.142857143	200.163265306	423.87755102	508.979591837	45.8447560089	3.28421052632
2	41.8125	low	18	11.5789473684	0	6	926.701030928	292.948453608	1032.21649485	414.989690722	43.7735354953	0.0
6	67.5714285714	low	28	5.93119810202	0	7	823.563218391	237.425287356	191.034482759	193.103448276	82.5893399283	3.34519572954
6	103.733333333	low	16	11.862396204	0	6	1040.58139535	220.651162791	275.23255814	165.76744186	87.3595305222	4.48398576512
6	119.085714286	medium	39	5.22565320665	1	8	1436.77884615	427.615384615	537.091346154	1904.45673077	56.3841382453	1.93824228029
7	136.933333333	high	1	7.9006772009	0	4	1100.88888889	283.911111111	346.0	143.011111111	89.6676776036	4.87584650113
6	206.933333333	low	28	9.02934537246	0	8	1009.34065934	272.527472527	177.362637363	217.813186813	92.1889992605	5.82392776524
6	105.222222222	medium	15	10.6485963214	1	6	880.471698113	195.773584906	489.29245283	206.490566038	62.5296363177	3.65924491772
6	180.222222222	low	23	7.74443368829	0	8	963.333333333	261.180952381	512.428571429	238.428571429	66.9729206112	3.07841239109
